Security Code,Issuer Name,Security Id,Security Name,ISIN No
539800,CHD Chemicals Limited,CHDCHEM,CHD Chemicals Ltd,INE043U01010
539807,INFIBEAM AVENUES LIMITED,INFIBEAM,Infibeam Avenues Ltd,INE483S01020
539814,LE LAVOIR LIMITED,LELAVOIR,LE Lavoir Ltd,INE204S01012
539819,Mudra Financial Services Ltd.,MUDRA,Mudra Financial Services Ltd,INE967S01014
539834,Balgopal Commercial limited,BALGOPAL,Balgopal Commercial Ltd,INE119R01014
539835,Superior Finlease Limited,SUPERIOR,Superior Finlease Ltd,INE574R01028
539837,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,RPEL,Raghav Productivity Enhancers Ltd,INE912T01018
539839,Franklin Leasing and Finance Limited,FRANKLIN,Franklin Leasing and Finance Ltd,INE399S01010
539841,Lancer Container Lines Limited,LANCER,Lancer Container Lines Ltd,INE359U01028
539843,NINtec Systems Limited,NINSYS,NINtec Systems Ltd,INE395U01014
539854,Halder Venture Limited,HALDER,Halder Venture Ltd,INE115S01010
539871,Thyrocare Technologies Limited,THYROCARE,Thyrocare Technologies Ltd,INE594H01019
539872,Bajaj Healthcare Limited,BAJAJHCARE,Bajaj Healthcare Ltd,INE411U01027
539874,Ujjivan Financial Services Limited,UJJIVAN,Ujjivan Financial Services Ltd,INE334L01012
539875,RSD Finance Limited,RSDFIN,RSD Finance Ltd,INE616F01022
539876,Crompton Greaves Consumer Electricals Limited,CROMPTON,Crompton Greaves Consumer Electricals Ltd,INE299U01018
539883,Pilani Investment And Industries Corporation Limited,PILANIINVS,Pilani Investment and Industries Corporation Ltd,INE417C01014
539884,Darshan Orna Limited,DARSHANORNA,Darshan Orna Ltd,INE671T01028
539889,Parag Milk Foods Limited,PARAGMILK,Parag Milk Foods Ltd,INE883N01014
539894,Madhav Infra Projects Limited,MADHAVIPL,Madhav Infra Projects Ltd,INE631R01026
539910,Kome-on Communication Limited,KOCL,Kome-On Communication Ltd,INE833C01012
539911,Svarnim Trade Udyog Limited,SNIM,Svarnim Trade Udyog Ltd,INE730R01042
539917,NAGARJUNA FERTILIZERS AND CHEMICALS LTD.,NAGARFERT,Nagarjuna Fertilizers and Chemicals Ltd,INE454M01024
539921,Shanti Educational Initiatives Limited,SEIL,Shanti Educational Initiatives Ltd,INE440T01028
539927,LIKHAMI CONSULTING LIMITED,LIKHAMI,Likhami Consulting Ltd,INE920T01011
539938,Medico Intercontinental Limited,MIL,Medico Intercontinental Ltd,INE858Q01019
539939,Yash Chemex Limited,YASHCHEM,Yash Chemex Ltd,INE571U01010
539940,Max Ventures and Industries Limited,MAXVIL,Max Ventures and Industries Ltd,INE154U01015
539945,ICICI Prudential Mutual Fund,ICICINV20,ICICI Prudential Nifty50 Value 20 ETF,INF109KB1WY5
539946,Bazel International Limited,BAZELINTER,Bazel International Ltd,INE217E01014
539947,JINDAL LEASEFIN LIMITED,JLL,Jindal Leasefin Ltd,INE919T01013
539956,TAAL Enterprises Limited,TAALENT,TAAL Enterprises Ltd,INE524T01011
539957,Mahanagar Gas Limited,MGL,Mahanagar Gas Ltd,INE002S01010
539963,Zeal Aqua Limited,ZEAL,Zeal Aqua Ltd,INE819S01025
539978,Quess Corp Limited,QUESS,Quess Corp Ltd,INE615P01015
539979,DIGJAM LIMITED,DIGJAMLTD,Digjam Ltd,INE731U01028
539980,ICICI Prudential Mutual Fund,ICICIMCAP,ICICI Prudential S&P BSE Midcap Select ETF,INF109KB1XT3
539982,Advance Syntex Limited,ASYL,Advance Syntex Ltd,INE184U01012
539984,HINDUSTHAN URBAN INFRASTRUCTURE LIMITED,HUIL,Hindusthan Urban Infrastructure Ltd,INE799B01017
539985,Titaanium Ten Enterprise Limited,TITAANIUM,Titaanium Ten Enterprise Ltd,INE120V01014
539986,Commercial Syn Bags Limited,COMSYN,Commercial Syn Bags Ltd,INE073V01015
539991,CONFIDENCE FUTURISTIC ENERGETECH LIMITED,CFEL,Confidence Futuristic Energetech Ltd,INE700F01024
539992,LLOYDS STEELS INDUSTRIES LIMITED,LLOYDSTEEL,Lloyds Steels Industries Ltd,INE093R01011
539997,Kwality Pharmaceuticals Limited,KPL,Kwality Pharmaceuticals Ltd,INE552U01010
